nome_;genero_;desenvolvedor_;lancamento_;plataformas_
Hollow Knight Adventure;Battle Royale;CD Projekt Red;1989;Wii U
EVE Online Origins;Sandbox;Bungie;2015;Wii U
Dota 2 Odyssey;Simulação;CD Projekt Red;2003;Xbox 360
Fortnite Origins;Simulação;Nintendo;1988;Xbox
Call of Duty Saga;Terror;CD Projekt Red;1998;Xbox 360
The Legend of Zelda Chronicles;FPS;Bungie;2012;Xbox
Elden Ring Adventure;Ação;Nintendo;2019;PlayStation 2
Cyberpunk Infinity;Battle Royale;Mojang;1997;PlayStation
Overwatch Adventure;MMORPG;CD Projekt Red;1995;PlayStation 5
EVE Online Reborn;Ação;Valve;2015;PlayStation 3
Cyberpunk Odyssey;Estratégia;CD Projekt Red;2023;Xbox 360
Fortnite Saga;Puzzle;Supercell;2021;Wii U
Diablo Origins;Simulação;Mojang;1996;Wii U
Fall Guys Origins;FPS;Mojang;1990;PlayStation 2
The Legend of Zelda Reborn;Battle Royale;FromSoftware;2014;PC
Minecraft Reborn;FPS;Nintendo;1989;Mobile
Fall Guys Reborn;Puzzle;FromSoftware;1995;PlayStation 2
Valorant Chronicles;Battle Royale;Bethesda Game Studios;2015;Wii U
Red Dead Redemption Reborn;Puzzle;FromSoftware;2006;PlayStation 2
Cyberpunk Chronicles;MMORPG;Rockstar Games;1988;PlayStation 3
Valorant Reborn;MMORPG;Ubisoft;2014;PlayStation 3
League of Legends Origins;Esporte;Ubisoft;1989;PlayStation 3
Assassin's Creed Odyssey;MMORPG;FromSoftware;2020;Xbox
Apex Legends Origins;Battle Royale;Square Enix;2001;PlayStation 2
The Legend of Zelda Saga;Ação;Supercell;2023;Nintendo Switch
EVE Online Infinity;Battle Royale;Epic Games;2004;Nintendo Switch
The Legend of Zelda Saga;Aventura;Square Enix;2003;PlayStation
Red Dead Redemption Origins;Esporte;Epic Games;1994;Xbox Series X
Elden Ring Origins;Ação;Supercell;1995;Xbox Series X
Call of Duty Infinity;Esporte;Supercell;1993;PlayStation 3
League of Legends Origins;Esporte;Supercell;2003;PlayStation 5
Grand Theft Auto Odyssey;Estratégia;Blizzard Entertainment;1990;PlayStation 5
Fortnite Origins;Esporte;Rockstar Games;2009;Nintendo Switch
The Legend of Zelda Odyssey;Aventura;Mojang;2004;PlayStation 3
League of Legends Origins;Esporte;Ubisoft;2019;PlayStation 3
Call of Duty Adventure;MMORPG;Square Enix;1997;Wii U
Grand Theft Auto Origins;Esporte;Bungie;2010;PC
Dota 2 Reborn;Corrida;Bungie;1986;Nintendo Switch
Assassin's Creed Saga;Sandbox;Epic Games;2007;PlayStation
Hollow Knight Chronicles;Sandbox;Epic Games;2007;Xbox 360
PUBG Saga;Estratégia;Valve;2000;Xbox Series X
The Legend of Zelda Infinity;Aventura;Activision;1998;Nintendo Switch
League of Legends Legends;MMORPG;Supercell;2003;PlayStation 5
Cyberpunk Adventure;Battle Royale;Square Enix;2006;PlayStation
League of Legends Odyssey;Simulação;Activision;2004;PlayStation
Stardew Valley Legends;Terror;Blizzard Entertainment;2021;PlayStation 5
God of War Odyssey;MMORPG;Blizzard Entertainment;2014;Xbox Series X
Fortnite Infinity;Sandbox;Ubisoft;2000;Nintendo Switch
Apex Legends Odyssey;RPG;FromSoftware;1990;Xbox
Among Us Adventure;MMORPG;Ubisoft;1993;Wii U
Valorant Adventure;RPG;Epic Games;2019;PlayStation 2
Red Dead Redemption Saga;Battle Royale;Mojang;1986;PlayStation
The Legend of Zelda Legends;Battle Royale;Rockstar Games;2020;Nintendo Switch
Valorant Adventure;Simulação;Nintendo;2003;PlayStation 3
Among Us Saga;Simulação;Santa Monica Studio;2000;Xbox
Fall Guys Saga;Corrida;Valve;2022;Xbox Series X
League of Legends Saga;Aventura;Rockstar Games;1999;Wii U
Dota 2 Infinity;MMORPG;Nintendo;1989;PC
Grand Theft Auto Odyssey;Ação;Epic Games;2010;Wii U
The Sims Saga;FPS;Nintendo;1987;Mobile
Call of Duty Infinity;FPS;Bungie;2023;Wii U
Dota 2 Adventure;Terror;Supercell;2007;Nintendo Switch
The Sims Chronicles;Esporte;Santa Monica Studio;1995;Wii U
The Witcher Adventure;Terror;Bethesda Game Studios;1999;PlayStation
EVE Online Infinity;MMORPG;Epic Games;2022;Xbox
Dota 2 Legends;Terror;Epic Games;2022;Xbox
Cyberpunk Odyssey;RPG;Santa Monica Studio;1987;Xbox Series X
Call of Duty Chronicles;Aventura;Santa Monica Studio;1995;PlayStation 2
Fall Guys Chronicles;Battle Royale;Activision;1991;Nintendo Switch
Red Dead Redemption Odyssey;Simulação;Ubisoft;1991;PlayStation
PUBG Origins;RPG;Rockstar Games;2007;Xbox
God of War Chronicles;Simulação;Mojang;1993;Xbox 360
Elden Ring Odyssey;Corrida;Mojang;1994;Xbox Series X
Minecraft Chronicles;Aventura;Santa Monica Studio;2004;PlayStation 3
Hollow Knight Legends;Esporte;CD Projekt Red;2010;Xbox Series X
PUBG Infinity;Aventura;Blizzard Entertainment;2002;PlayStation 3
The Witcher Origins;Esporte;Blizzard Entertainment;1986;Nintendo Switch
The Witcher Infinity;Sandbox;FromSoftware;2008;Xbox 360
PUBG Saga;Battle Royale;Valve;2002;PlayStation 5
Cyberpunk Legends;Aventura;Mojang;2007;Wii U
Hollow Knight Odyssey;Corrida;Blizzard Entertainment;2021;PlayStation 3
Valorant Adventure;Terror;Blizzard Entertainment;2006;Mobile
Diablo Adventure;Estratégia;Valve;2020;PlayStation 5
The Sims Odyssey;Corrida;Blizzard Entertainment;1986;PlayStation 5
Among Us Odyssey;RPG;Santa Monica Studio;1985;Xbox 360
Dota 2 Reborn;MMORPG;Epic Games;2014;Mobile
Red Dead Redemption Chronicles;Simulação;Valve;2008;Xbox Series X
Diablo Chronicles;Aventura;Bethesda Game Studios;1996;Wii U
Assassin's Creed Legends;Corrida;Nintendo;2013;Mobile
Hades Adventure;Simulação;Square Enix;1990;Xbox
PUBG Reborn;Esporte;Activision;2023;Mobile
Fortnite Odyssey;MMORPG;Santa Monica Studio;1986;Mobile
Fall Guys Saga;Aventura;Supercell;2010;Xbox 360
Dota 2 Infinity;FPS;Epic Games;1998;Nintendo Switch
Grand Theft Auto Reborn;RPG;Santa Monica Studio;2002;PlayStation
Red Dead Redemption Saga;FPS;Square Enix;2004;PC
Stardew Valley Infinity;Terror;Santa Monica Studio;2021;PC
Apex Legends Adventure;Aventura;Bethesda Game Studios;2005;Xbox
God of War Chronicles;Battle Royale;Rockstar Games;2016;PlayStation 3
Hollow Knight Adventure;FPS;Blizzard Entertainment;1997;Wii U
Fortnite Saga;FPS;Bethesda Game Studios;1986;PlayStation 3
The Witcher Legends;Corrida;CD Projekt Red;1996;PlayStation 3
Cyberpunk Chronicles;Terror;Supercell;2017;Mobile
Assassin's Creed Adventure;Simulação;Epic Games;2020;Mobile
Dota 2 Reborn;Ação;Mojang;1989;PC
Dota 2 Adventure;Puzzle;Epic Games;1999;Xbox 360
Hollow Knight Infinity;Corrida;CD Projekt Red;2015;Wii U
Stardew Valley Chronicles;Estratégia;FromSoftware;2005;Xbox 360
The Legend of Zelda Adventure;Simulação;Bungie;1985;PlayStation 3
EVE Online Saga;Aventura;CD Projekt Red;2016;Nintendo Switch
Among Us Adventure;Terror;CD Projekt Red;2011;PlayStation 2
God of War Infinity;Esporte;Square Enix;2006;Wii U
Valorant Legends;MMORPG;Valve;2002;Xbox
Hollow Knight Infinity;FPS;Nintendo;2018;PlayStation 2
Apex Legends Legends;MMORPG;Square Enix;2013;Xbox 360
EVE Online Saga;Sandbox;FromSoftware;1993;PlayStation 5
EVE Online Origins;Ação;Blizzard Entertainment;2014;Wii U
Among Us Adventure;FPS;Rockstar Games;2001;PC
PUBG Saga;RPG;Blizzard Entertainment;2012;Nintendo Switch
EVE Online Adventure;RPG;Activision;2005;Nintendo Switch
Among Us Adventure;Corrida;Activision;2005;Nintendo Switch
Fortnite Adventure;Esporte;Blizzard Entertainment;1993;Xbox
God of War Odyssey;Battle Royale;Valve;1998;Mobile
Diablo Legends;Simulação;CD Projekt Red;2004;Xbox 360
Fortnite Adventure;Aventura;Santa Monica Studio;1997;PlayStation 2
Minecraft Chronicles;Aventura;Bethesda Game Studios;1999;Nintendo Switch
Elden Ring Odyssey;Ação;CD Projekt Red;2007;PlayStation 5
League of Legends Chronicles;Terror;Bungie;1987;Nintendo Switch
Minecraft Origins;Terror;Nintendo;2018;Xbox 360
Stardew Valley Saga;Simulação;Valve;2017;PC
Stardew Valley Infinity;FPS;Square Enix;1998;Xbox 360
Apex Legends Origins;Simulação;Santa Monica Studio;1985;Nintendo Switch
Valorant Saga;Simulação;CD Projekt Red;1996;Nintendo Switch
Stardew Valley Infinity;Ação;Ubisoft;2017;Xbox Series X
Dota 2 Reborn;Terror;Bungie;2018;Mobile
Elden Ring Chronicles;Terror;Activision;1989;PlayStation 5
Hades Legends;Esporte;Bungie;1993;PlayStation 3
Elden Ring Origins;Esporte;Rockstar Games;1987;Nintendo Switch
Elden Ring Saga;Sandbox;Square Enix;2013;Mobile
Assassin's Creed Infinity;Puzzle;Mojang;2004;PC
EVE Online Infinity;Ação;Rockstar Games;2007;Xbox Series X
Grand Theft Auto Saga;Sandbox;Blizzard Entertainment;2010;PlayStation 5
League of Legends Chronicles;RPG;Valve;2017;Mobile
PUBG Legends;Ação;Rockstar Games;1995;PlayStation 5
Cyberpunk Odyssey;Estratégia;Square Enix;1991;Xbox 360
Assassin's Creed Adventure;Sandbox;Santa Monica Studio;1993;Xbox
The Legend of Zelda Odyssey;Simulação;Supercell;2012;Nintendo Switch
Hades Adventure;Esporte;CD Projekt Red;2012;Nintendo Switch
Diablo Legends;Aventura;Rockstar Games;1989;Mobile
Hollow Knight Legends;Estratégia;Mojang;2017;Xbox Series X
Dota 2 Adventure;Esporte;FromSoftware;2018;Mobile
Assassin's Creed Reborn;MMORPG;Ubisoft;2004;Wii U
Apex Legends Adventure;Aventura;Square Enix;2009;PlayStation 2
Call of Duty Reborn;Sandbox;Ubisoft;1985;Xbox Series X
The Sims Adventure;Ação;Ubisoft;1998;Xbox 360
The Witcher Origins;Aventura;Square Enix;1996;Mobile
The Witcher Odyssey;Ação;Nintendo;2017;PlayStation 2
The Witcher Infinity;Sandbox;Bungie;2020;Xbox Series X
Elden Ring Chronicles;Ação;Bethesda Game Studios;1989;Xbox
Minecraft Adventure;Battle Royale;Valve;2005;PlayStation
Valorant Legends;FPS;Bungie;1987;Mobile
Hades Reborn;Sandbox;Valve;1989;Xbox 360
Apex Legends Saga;Ação;FromSoftware;2012;Nintendo Switch
Fortnite Infinity;MMORPG;CD Projekt Red;2006;PlayStation
Fall Guys Legends;MMORPG;Bungie;2020;Nintendo Switch
God of War Chronicles;MMORPG;Blizzard Entertainment;2020;PlayStation 5
Dota 2 Chronicles;FPS;Supercell;1991;PlayStation
Call of Duty Origins;Sandbox;Santa Monica Studio;2003;PC
Call of Duty Saga;Esporte;Nintendo;2013;Nintendo Switch
Call of Duty Chronicles;Ação;Bungie;2018;PlayStation
Fall Guys Infinity;Estratégia;Bethesda Game Studios;1988;Xbox
EVE Online Infinity;RPG;Epic Games;1992;Xbox
League of Legends Saga;Puzzle;Bungie;1990;Mobile
Elden Ring Adventure;Simulação;Supercell;1996;PlayStation 5
The Sims Adventure;Sandbox;Supercell;2015;PC
PUBG Chronicles;Aventura;Bethesda Game Studios;1993;PC
God of War Chronicles;Sandbox;Nintendo;2017;Xbox 360
Apex Legends Odyssey;Sandbox;FromSoftware;1996;PlayStation 2
Red Dead Redemption Odyssey;FPS;Bungie;2000;Wii U
The Witcher Infinity;Aventura;Square Enix;1987;PlayStation 5
Apex Legends Chronicles;Terror;Bungie;1990;Wii U
Cyberpunk Adventure;Battle Royale;Activision;2003;PC
Apex Legends Reborn;MMORPG;Bungie;1990;PlayStation
Minecraft Infinity;FPS;Ubisoft;2021;PlayStation 2
Fall Guys Origins;MMORPG;Bungie;1986;Mobile
Hades Chronicles;Simulação;Ubisoft;1988;Xbox Series X
Elden Ring Infinity;Corrida;Nintendo;1989;Wii U
The Witcher Adventure;Simulação;Blizzard Entertainment;2013;PlayStation 2
Hollow Knight Legends;Battle Royale;Activision;2004;PlayStation 3
The Legend of Zelda Infinity;Battle Royale;Epic Games;2015;Xbox Series X
Fall Guys Adventure;Terror;Santa Monica Studio;2003;PlayStation 2
Apex Legends Origins;Aventura;Ubisoft;1986;PlayStation 5
Red Dead Redemption Chronicles;Terror;Square Enix;2016;PlayStation 3
Overwatch Chronicles;Sandbox;Santa Monica Studio;2011;Xbox
Call of Duty Chronicles;Sandbox;Activision;2008;Mobile
Valorant Origins;Battle Royale;Valve;1997;Xbox 360
Valorant Saga;Corrida;Valve;1994;PlayStation 5
Assassin's Creed Reborn;Ação;Nintendo;1991;Xbox
Dota 2 Legends;Sandbox;FromSoftware;2001;Xbox
Minecraft Odyssey;Terror;Rockstar Games;2007;Xbox Series X
Stardew Valley Chronicles;FPS;FromSoftware;2018;Nintendo Switch
Apex Legends Legends;Aventura;Valve;1987;PC
Assassin's Creed Saga;Esporte;CD Projekt Red;2003;PlayStation 2
The Witcher Reborn;Sandbox;Epic Games;1993;Xbox
Grand Theft Auto Odyssey;Aventura;Supercell;2000;Nintendo Switch
Assassin's Creed Saga;RPG;Square Enix;2008;Mobile
EVE Online Chronicles;FPS;Nintendo;1996;PC
Elden Ring Adventure;Estratégia;Bethesda Game Studios;2001;PlayStation 3
Red Dead Redemption Odyssey;Esporte;Ubisoft;1989;Xbox
Call of Duty Saga;Battle Royale;Bungie;2010;Mobile
Call of Duty Infinity;Simulação;CD Projekt Red;2001;PC
Hollow Knight Reborn;Esporte;Valve;1999;PlayStation 3
Dota 2 Chronicles;Aventura;Ubisoft;2009;Xbox 360
Overwatch Reborn;Corrida;Epic Games;2006;Nintendo Switch
EVE Online Chronicles;Puzzle;Rockstar Games;1991;PlayStation 5
Assassin's Creed Infinity;Puzzle;Supercell;2014;Mobile
Elden Ring Saga;Terror;Blizzard Entertainment;2009;PC
Fortnite Infinity;Corrida;Square Enix;2000;PC
God of War Saga;Ação;FromSoftware;1996;Xbox Series X
The Legend of Zelda Adventure;Simulação;Epic Games;2002;Xbox 360
Fortnite Chronicles;Corrida;Bethesda Game Studios;2021;Xbox 360
League of Legends Odyssey;RPG;Mojang;2020;PlayStation 3
Call of Duty Infinity;Aventura;Bungie;2016;PlayStation
League of Legends Saga;Estratégia;CD Projekt Red;2014;PlayStation 2
Hollow Knight Reborn;FPS;Ubisoft;1997;Wii U
Dota 2 Odyssey;MMORPG;CD Projekt Red;2010;Xbox
Valorant Legends;FPS;Rockstar Games;2022;PlayStation 5
EVE Online Odyssey;RPG;Ubisoft;1988;Xbox
Elden Ring Reborn;Simulação;Ubisoft;2008;Xbox
The Witcher Odyssey;Simulação;Nintendo;2013;Mobile
League of Legends Origins;Ação;FromSoftware;1987;PlayStation 5
Grand Theft Auto Legends;Terror;Nintendo;1999;PlayStation 5
Among Us Adventure;MMORPG;Ubisoft;1989;PlayStation 5
Diablo Legends;RPG;Bungie;1990;PlayStation 2
Elden Ring Infinity;RPG;FromSoftware;2018;PlayStation
Dota 2 Legends;FPS;Nintendo;2002;Wii U
Elden Ring Infinity;RPG;Bungie;1988;Nintendo Switch
Grand Theft Auto Legends;Estratégia;Mojang;1989;PlayStation 3
Fall Guys Chronicles;Esporte;Square Enix;2010;Xbox
Fortnite Odyssey;Battle Royale;Mojang;1998;PlayStation 2
God of War Origins;Puzzle;Square Enix;1990;Wii U
Minecraft Adventure;Sandbox;Bethesda Game Studios;2017;Mobile
Valorant Saga;Aventura;Activision;1994;Xbox Series X
Fortnite Chronicles;Sandbox;FromSoftware;1992;PlayStation 2
Cyberpunk Adventure;Sandbox;Rockstar Games;2003;PC
PUBG Adventure;Estratégia;CD Projekt Red;2002;PlayStation 3
Assassin's Creed Saga;Terror;Blizzard Entertainment;1994;Mobile
Hades Legends;MMORPG;Ubisoft;1991;Xbox 360
Cyberpunk Origins;Aventura;Supercell;2022;PC
EVE Online Origins;FPS;Epic Games;2009;Nintendo Switch
The Sims Legends;RPG;Valve;1999;Xbox
Diablo Legends;Esporte;CD Projekt Red;2023;Nintendo Switch
Red Dead Redemption Adventure;Esporte;Epic Games;1986;Xbox 360
The Legend of Zelda Adventure;Terror;Activision;1997;Xbox 360
Hades Origins;Corrida;Mojang;2000;PlayStation 3
The Sims Legends;Esporte;Bungie;2002;Mobile
Elden Ring Chronicles;Corrida;Bethesda Game Studios;1998;PlayStation 3
The Sims Saga;Terror;Ubisoft;2012;Nintendo Switch
God of War Chronicles;Sandbox;Bungie;1997;Xbox Series X
League of Legends Origins;MMORPG;FromSoftware;2014;PlayStation 2
Cyberpunk Adventure;Battle Royale;CD Projekt Red;2009;Xbox 360
The Sims Chronicles;Simulação;Supercell;1993;PlayStation 3
Minecraft Legends;FPS;Square Enix;2011;PlayStation
Red Dead Redemption Chronicles;Battle Royale;Rockstar Games;1987;PC
The Legend of Zelda Chronicles;Esporte;Mojang;2003;PlayStation 3
Hades Chronicles;Estratégia;Blizzard Entertainment;2001;PC
Cyberpunk Legends;RPG;Bethesda Game Studios;1992;PlayStation
The Legend of Zelda Legends;Sandbox;Activision;1988;PlayStation 2
The Sims Legends;FPS;CD Projekt Red;1991;Xbox
Assassin's Creed Saga;Battle Royale;Ubisoft;2007;PlayStation 5
League of Legends Saga;Sandbox;Square Enix;2016;Xbox
Overwatch Odyssey;RPG;Rockstar Games;2005;PlayStation
Minecraft Chronicles;Sandbox;Bethesda Game Studios;2007;Xbox 360
Among Us Chronicles;Corrida;Rockstar Games;2013;PlayStation 5
Stardew Valley Saga;Corrida;Bungie;2005;PlayStation
Overwatch Saga;Battle Royale;Supercell;2010;Nintendo Switch
Fall Guys Chronicles;MMORPG;Valve;2011;PlayStation 5
League of Legends Infinity;Corrida;Nintendo;1996;PlayStation
Grand Theft Auto Adventure;Corrida;Santa Monica Studio;2016;Mobile
Minecraft Chronicles;Terror;Bungie;2008;PlayStation 5
EVE Online Chronicles;Battle Royale;Nintendo;2011;Xbox
Assassin's Creed Origins;Sandbox;Santa Monica Studio;1995;Wii U
Grand Theft Auto Odyssey;Corrida;Santa Monica Studio;2021;PlayStation 3
EVE Online Chronicles;Battle Royale;Mojang;2019;PlayStation 3
Grand Theft Auto Legends;Estratégia;Activision;2019;Xbox Series X
Elden Ring Origins;Sandbox;Rockstar Games;2015;PlayStation
Red Dead Redemption Chronicles;Sandbox;Rockstar Games;2006;Xbox Series X
Hollow Knight Adventure;Ação;Supercell;2002;PC
Stardew Valley Legends;Corrida;Mojang;1998;PlayStation
Cyberpunk Reborn;Esporte;Blizzard Entertainment;1988;Mobile
Hollow Knight Saga;MMORPG;FromSoftware;2015;PlayStation 5
League of Legends Legends;Puzzle;Blizzard Entertainment;1987;PlayStation 3
Assassin's Creed Infinity;Terror;Epic Games;1992;Xbox
Hollow Knight Adventure;Puzzle;FromSoftware;2000;Wii U
The Sims Odyssey;Battle Royale;Mojang;2009;Mobile
Overwatch Saga;MMORPG;Epic Games;2007;Mobile
Apex Legends Origins;MMORPG;Epic Games;1999;PC
Diablo Reborn;Terror;Santa Monica Studio;2001;Xbox
Cyberpunk Legends;Battle Royale;Epic Games;1990;Xbox Series X
Stardew Valley Legends;Battle Royale;Nintendo;2020;Xbox Series X
The Legend of Zelda Saga;Corrida;Supercell;1994;PlayStation 2
Among Us Saga;Puzzle;CD Projekt Red;2014;PlayStation 5
Minecraft Saga;FPS;Valve;2006;Wii U
EVE Online Adventure;Aventura;FromSoftware;2011;Nintendo Switch
Elden Ring Reborn;FPS;Rockstar Games;2015;PC
The Witcher Reborn;Estratégia;Valve;2004;Wii U
Dota 2 Legends;Sandbox;Activision;2013;Mobile
Among Us Odyssey;Ação;Santa Monica Studio;2011;Xbox Series X
Minecraft Reborn;Estratégia;Activision;2014;PC
Apex Legends Legends;Corrida;Valve;2022;Nintendo Switch
Elden Ring Infinity;MMORPG;Bungie;2001;PlayStation 2
Red Dead Redemption Chronicles;Esporte;Blizzard Entertainment;2013;Xbox 360
PUBG Legends;Puzzle;Ubisoft;2001;Xbox Series X
Cyberpunk Infinity;Ação;Ubisoft;1992;PlayStation
Diablo Chronicles;FPS;CD Projekt Red;2007;PC
Minecraft Chronicles;MMORPG;Santa Monica Studio;2007;PlayStation 2
Valorant Saga;Simulação;Blizzard Entertainment;2018;Xbox 360
EVE Online Infinity;Aventura;Blizzard Entertainment;2014;Wii U
EVE Online Odyssey;Corrida;Blizzard Entertainment;2004;PlayStation 3
Elden Ring Legends;Aventura;Bungie;1993;PlayStation 2
Dota 2 Reborn;Sandbox;Square Enix;2016;Xbox 360
Minecraft Adventure;Corrida;Square Enix;2003;PlayStation 5
Hades Infinity;MMORPG;Square Enix;2018;PlayStation 5
Cyberpunk Odyssey;MMORPG;Activision;2009;PlayStation
Assassin's Creed Chronicles;Aventura;FromSoftware;2019;Nintendo Switch
EVE Online Legends;Simulação;Rockstar Games;2017;Wii U
Stardew Valley Odyssey;Battle Royale;Activision;1989;Mobile
Hollow Knight Saga;FPS;Ubisoft;2009;PlayStation 5
The Sims Infinity;MMORPG;Blizzard Entertainment;1993;PlayStation 2
Fall Guys Odyssey;RPG;Valve;1997;Xbox
Fortnite Odyssey;Battle Royale;Valve;1985;PlayStation
Among Us Infinity;Aventura;Square Enix;2006;Nintendo Switch
Elden Ring Reborn;Ação;Ubisoft;2011;PC
Minecraft Legends;Esporte;Supercell;2021;PlayStation 2
Elden Ring Legends;Ação;FromSoftware;2008;Mobile
Apex Legends Odyssey;Ação;Activision;2001;PC
God of War Legends;Simulação;Rockstar Games;2009;Mobile
Dota 2 Origins;MMORPG;Blizzard Entertainment;2009;Xbox Series X
Overwatch Chronicles;Corrida;Valve;1985;Xbox 360
Stardew Valley Odyssey;Battle Royale;Santa Monica Studio;1986;Mobile
God of War Reborn;Sandbox;Blizzard Entertainment;2013;PlayStation 5
Valorant Adventure;Sandbox;FromSoftware;1987;Nintendo Switch
God of War Adventure;MMORPG;Bungie;2018;Nintendo Switch
Cyberpunk Chronicles;FPS;Santa Monica Studio;1996;PC
Elden Ring Reborn;Aventura;Epic Games;1991;PC
Red Dead Redemption Infinity;Corrida;Square Enix;2003;Xbox
League of Legends Saga;Battle Royale;FromSoftware;2019;Nintendo Switch
Fall Guys Adventure;FPS;Nintendo;1997;Mobile
Diablo Legends;Battle Royale;Bungie;1988;PlayStation 2
Red Dead Redemption Saga;Simulação;Santa Monica Studio;2009;PlayStation 3
Elden Ring Saga;Ação;Supercell;2016;Xbox 360
Valorant Chronicles;Simulação;Supercell;2011;Nintendo Switch
Hades Legends;Esporte;Bethesda Game Studios;1988;Nintendo Switch
Among Us Adventure;MMORPG;Blizzard Entertainment;1993;PlayStation 2
The Witcher Infinity;Esporte;Ubisoft;2013;Xbox 360
PUBG Chronicles;Aventura;Square Enix;1994;Nintendo Switch
Overwatch Saga;MMORPG;Santa Monica Studio;1992;PlayStation 2
Fortnite Adventure;Battle Royale;CD Projekt Red;1993;PlayStation 2
God of War Saga;Simulação;FromSoftware;2011;PC
The Legend of Zelda Adventure;Simulação;Bungie;2023;Xbox
Minecraft Saga;RPG;Bethesda Game Studios;1990;Xbox 360
Grand Theft Auto Infinity;Simulação;Valve;1992;PlayStation 3
Elden Ring Adventure;Aventura;Square Enix;1985;Xbox Series X
The Witcher Reborn;Ação;FromSoftware;2009;PC
EVE Online Chronicles;Corrida;Valve;2002;PlayStation 2
Dota 2 Legends;Sandbox;Ubisoft;2003;Xbox Series X
Fortnite Chronicles;Simulação;Santa Monica Studio;2013;Mobile
Overwatch Chronicles;Ação;Supercell;1987;Nintendo Switch
Dota 2 Adventure;Sandbox;Supercell;2009;Xbox 360
Apex Legends Chronicles;Corrida;Blizzard Entertainment;2009;PlayStation
League of Legends Saga;FPS;Square Enix;1992;PlayStation
The Sims Odyssey;RPG;Bungie;1991;PlayStation 5
Overwatch Reborn;FPS;Bethesda Game Studios;1994;Xbox 360
Elden Ring Adventure;MMORPG;Activision;2005;PlayStation 3
Assassin's Creed Adventure;RPG;Santa Monica Studio;1999;Xbox 360
EVE Online Odyssey;Simulação;Santa Monica Studio;2011;Xbox 360
Among Us Origins;Simulação;CD Projekt Red;1986;PC
God of War Legends;Battle Royale;CD Projekt Red;2000;Xbox
Stardew Valley Chronicles;Estratégia;Epic Games;1985;PC
Elden Ring Infinity;Simulação;Valve;2018;Xbox 360
Elden Ring Odyssey;Battle Royale;Supercell;2015;PC
Elden Ring Odyssey;Simulação;Epic Games;2019;PlayStation
God of War Saga;FPS;Activision;1987;PlayStation 3
The Sims Origins;Esporte;Square Enix;1990;PlayStation 3
Stardew Valley Chronicles;Estratégia;Epic Games;2003;Wii U
Dota 2 Infinity;Terror;Santa Monica Studio;1994;Wii U
The Witcher Saga;Sandbox;Ubisoft;2022;Wii U
Fall Guys Infinity;Sandbox;Rockstar Games;2018;PlayStation 5
God of War Saga;Puzzle;Blizzard Entertainment;2008;PC
Red Dead Redemption Chronicles;Sandbox;Blizzard Entertainment;1995;Nintendo Switch
Grand Theft Auto Adventure;Terror;Nintendo;2015;Nintendo Switch
Fall Guys Infinity;Estratégia;Bungie;1999;Mobile
The Witcher Legends;MMORPG;Square Enix;2012;Nintendo Switch
God of War Chronicles;FPS;Rockstar Games;2016;Wii U
Overwatch Odyssey;Aventura;Blizzard Entertainment;2022;PlayStation 5
League of Legends Legends;MMORPG;Mojang;1989;Xbox 360
EVE Online Odyssey;Puzzle;Bungie;2022;PlayStation 3
Minecraft Legends;Simulação;Supercell;1995;PlayStation
EVE Online Saga;RPG;Square Enix;2006;PlayStation 2
Grand Theft Auto Chronicles;Sandbox;Mojang;2020;Xbox
EVE Online Odyssey;Terror;Supercell;2003;Mobile
Among Us Odyssey;Esporte;Santa Monica Studio;1999;Mobile
EVE Online Infinity;Esporte;Blizzard Entertainment;1997;Mobile
Red Dead Redemption Saga;Ação;Santa Monica Studio;2012;Xbox 360
The Witcher Adventure;Estratégia;Epic Games;2023;PlayStation 5
Grand Theft Auto Reborn;Sandbox;Nintendo;2010;Xbox
EVE Online Legends;Puzzle;Santa Monica Studio;2018;Xbox
Among Us Adventure;FPS;FromSoftware;2021;PlayStation 3
PUBG Chronicles;Esporte;Santa Monica Studio;1995;Xbox 360
Minecraft Odyssey;Estratégia;Bungie;2000;PC
Diablo Saga;Terror;CD Projekt Red;1995;Mobile
Dota 2 Origins;Sandbox;Valve;2019;Xbox Series X
Minecraft Odyssey;Esporte;Activision;1991;PlayStation 5
Among Us Infinity;Ação;Rockstar Games;2022;PlayStation 3
Hollow Knight Saga;Battle Royale;Mojang;2004;Nintendo Switch
Cyberpunk Odyssey;Terror;Activision;2000;PlayStation 5
Among Us Origins;Simulação;FromSoftware;2011;PlayStation 5
Apex Legends Reborn;MMORPG;Bungie;2011;Xbox
Diablo Reborn;Ação;Santa Monica Studio;1998;PlayStation 3
Minecraft Chronicles;RPG;Blizzard Entertainment;2021;PC
League of Legends Adventure;Ação;Mojang;2000;Xbox
Hollow Knight Legends;Battle Royale;Supercell;1989;Nintendo Switch
The Sims Origins;Esporte;Valve;2016;Xbox
Dota 2 Reborn;Corrida;Bethesda Game Studios;1999;PC
The Legend of Zelda Legends;MMORPG;Ubisoft;2016;Xbox Series X
Overwatch Saga;Terror;Ubisoft;2019;Xbox Series X
Fall Guys Origins;RPG;Supercell;2018;Mobile
Among Us Origins;Battle Royale;Activision;1992;PlayStation
The Sims Reborn;Corrida;Blizzard Entertainment;2013;PlayStation 2
Among Us Adventure;RPG;Bethesda Game Studios;2014;Xbox Series X
Stardew Valley Origins;Battle Royale;Activision;1990;PC
